q314_int,q314_bin,q512_int,q512_bin
0,00000000000000000,0,00000000000000000
4277,00001000010110101,1069,00000010000101101
8481,00010000100100001,2120,00000100001001000
12540,00011000011111100,3135,00000110000111111
16384,00100000000000000,4096,00001000000000000
19948,00100110111101100,4987,00001001101111011
23170,00101101010000010,5793,00001011010100001
25997,00110010110001101,6499,00001100101100011
28378,00110111011011010,7094,00001101110110110
30274,00111011001000010,7568,00001110110010000
31651,00111101110100011,7913,00001111011101001
32488,00111111011101000,8122,00001111110111010
32768,01000000000000000,8192,00010000000000000
32488,00111111011101000,8122,00001111110111010
31651,00111101110100011,7913,00001111011101001
30274,00111011001000010,7568,00001110110010000
28378,00110111011011010,7094,00001101110110110
25997,00110010110001101,6499,00001100101100011
23170,00101101010000010,5793,00001011010100001
19948,00100110111101100,4987,00001001101111011
16384,00100000000000000,4096,00001000000000000
12540,00011000011111100,3135,00000110000111111
8481,00010000100100001,2120,00000100001001000
4277,00001000010110101,1069,00000010000101101
0,00000000000000000,0,00000000000000000
-4277,11110111101001011,-1069,11111101111010011
-8481,11101111011011111,-2120,11111011110111000
-12540,11100111100000100,-3135,11111001111000001
-16384,11100000000000000,-4096,11111000000000000
-19948,11011001000010100,-4987,11110110010000101
-23170,11010010101111110,-5793,11110100101011111
-25997,11001101001110011,-6499,11110011010011101
-28378,11001000100100110,-7094,11110010001001010
-30274,11000100110111110,-7568,11110001001110000
-31651,11000010001011101,-7913,11110000100010111
-32488,11000000100011000,-8122,11110000001000110
-32768,11000000000000000,-8192,11110000000000000
-32488,11000000100011000,-8122,11110000001000110
-31651,11000010001011101,-7913,11110000100010111
-30274,11000100110111110,-7568,11110001001110000
-28378,11001000100100110,-7094,11110010001001010
-25997,11001101001110011,-6499,11110011010011101
-23170,11010010101111110,-5793,11110100101011111
-19948,11011001000010100,-4987,11110110010000101
-16384,11100000000000000,-4096,11111000000000000
-12540,11100111100000100,-3135,11111001111000001
-8481,11101111011011111,-2120,11111011110111000
-4277,11110111101001011,-1069,11111101111010011
-0,00000000000000000,-0,00000000000000000
4277,00001000010110101,1069,00000010000101101
8481,00010000100100001,2120,00000100001001000
12540,00011000011111100,3135,00000110000111111
16384,00100000000000000,4096,00001000000000000
19948,00100110111101100,4987,00001001101111011
23170,00101101010000010,5793,00001011010100001
25997,00110010110001101,6499,00001100101100011
28378,00110111011011010,7094,00001101110110110
30274,00111011001000010,7568,00001110110010000
31651,00111101110100011,7913,00001111011101001
32488,00111111011101000,8122,00001111110111010
32768,01000000000000000,8192,00010000000000000
32488,00111111011101000,8122,00001111110111010
31651,00111101110100011,7913,00001111011101001
30274,00111011001000010,7568,00001110110010000
28378,00110111011011010,7094,00001101110110110
25997,00110010110001101,6499,00001100101100011
23170,00101101010000010,5793,00001011010100001
19948,00100110111101100,4987,00001001101111011
16384,00100000000000000,4096,00001000000000000
12540,00011000011111100,3135,00000110000111111
8481,00010000100100001,2120,00000100001001000
4277,00001000010110101,1069,00000010000101101
0,00000000000000000,0,00000000000000000
-4277,11110111101001011,-1069,11111101111010011
-8481,11101111011011111,-2120,11111011110111000
-12540,11100111100000100,-3135,11111001111000001
-16384,11100000000000000,-4096,11111000000000000
-19948,11011001000010100,-4987,11110110010000101
-23170,11010010101111110,-5793,11110100101011111
-25997,11001101001110011,-6499,11110011010011101
-28378,11001000100100110,-7094,11110010001001010
-30274,11000100110111110,-7568,11110001001110000
-31651,11000010001011101,-7913,11110000100010111
-32488,11000000100011000,-8122,11110000001000110
-32768,11000000000000000,-8192,11110000000000000
-32488,11000000100011000,-8122,11110000001000110
-31651,11000010001011101,-7913,11110000100010111
-30274,11000100110111110,-7568,11110001001110000
-28378,11001000100100110,-7094,11110010001001010
-25997,11001101001110011,-6499,11110011010011101
-23170,11010010101111110,-5793,11110100101011111
-19948,11011001000010100,-4987,11110110010000101
-16384,11100000000000000,-4096,11111000000000000
-12540,11100111100000100,-3135,11111001111000001
-8481,11101111011011111,-2120,11111011110111000
-4277,11110111101001011,-1069,11111101111010011
-0,00000000000000000,-0,00000000000000000
4277,00001000010110101,1069,00000010000101101
8481,00010000100100001,2120,00000100001001000
12540,00011000011111100,3135,00000110000111111
16384,00100000000000000,4096,00001000000000000
19948,00100110111101100,4987,00001001101111011
23170,00101101010000010,5793,00001011010100001
25997,00110010110001101,6499,00001100101100011
28378,00110111011011010,7094,00001101110110110
30274,00111011001000010,7568,00001110110010000
31651,00111101110100011,7913,00001111011101001
32488,00111111011101000,8122,00001111110111010
32768,01000000000000000,8192,00010000000000000
32488,00111111011101000,8122,00001111110111010
31651,00111101110100011,7913,00001111011101001
30274,00111011001000010,7568,00001110110010000
28378,00110111011011010,7094,00001101110110110
25997,00110010110001101,6499,00001100101100011
23170,00101101010000010,5793,00001011010100001
19948,00100110111101100,4987,00001001101111011
16384,00100000000000000,4096,00001000000000000
12540,00011000011111100,3135,00000110000111111
8481,00010000100100001,2120,00000100001001000
4277,00001000010110101,1069,00000010000101101
0,00000000000000000,0,00000000000000000
-4277,11110111101001011,-1069,11111101111010011
-8481,11101111011011111,-2120,11111011110111000
-12540,11100111100000100,-3135,11111001111000001
-16384,11100000000000000,-4096,11111000000000000
-19948,11011001000010100,-4987,11110110010000101
-23170,11010010101111110,-5793,11110100101011111
-25997,11001101001110011,-6499,11110011010011101
-28378,11001000100100110,-7094,11110010001001010
-30274,11000100110111110,-7568,11110001001110000
-31651,11000010001011101,-7913,11110000100010111
-32488,11000000100011000,-8122,11110000001000110
-32768,11000000000000000,-8192,11110000000000000
-32488,11000000100011000,-8122,11110000001000110
-31651,11000010001011101,-7913,11110000100010111
-30274,11000100110111110,-7568,11110001001110000
-28378,11001000100100110,-7094,11110010001001010
-25997,11001101001110011,-6499,11110011010011101
-23170,11010010101111110,-5793,11110100101011111
-19948,11011001000010100,-4987,11110110010000101
-16384,11100000000000000,-4096,11111000000000000
-12540,11100111100000100,-3135,11111001111000001
-8481,11101111011011111,-2120,11111011110111000
-4277,11110111101001011,-1069,11111101111010011
-0,00000000000000000,-0,00000000000000000
4277,00001000010110101,1069,00000010000101101
8481,00010000100100001,2120,00000100001001000
12540,00011000011111100,3135,00000110000111111
16384,00100000000000000,4096,00001000000000000
19948,00100110111101100,4987,00001001101111011
23170,00101101010000010,5793,00001011010100001
25997,00110010110001101,6499,00001100101100011
28378,00110111011011010,7094,00001101110110110
30274,00111011001000010,7568,00001110110010000
31651,00111101110100011,7913,00001111011101001
32488,00111111011101000,8122,00001111110111010
32768,01000000000000000,8192,00010000000000000
32488,00111111011101000,8122,00001111110111010
31651,00111101110100011,7913,00001111011101001
30274,00111011001000010,7568,00001110110010000
28378,00110111011011010,7094,00001101110110110
25997,00110010110001101,6499,00001100101100011
23170,00101101010000010,5793,00001011010100001
19948,00100110111101100,4987,00001001101111011
16384,00100000000000000,4096,00001000000000000
12540,00011000011111100,3135,00000110000111111
8481,00010000100100001,2120,00000100001001000
4277,00001000010110101,1069,00000010000101101
0,00000000000000000,0,00000000000000000
-4277,11110111101001011,-1069,11111101111010011
-8481,11101111011011111,-2120,11111011110111000
-12540,11100111100000100,-3135,11111001111000001
-16384,11100000000000000,-4096,11111000000000000
-19948,11011001000010100,-4987,11110110010000101
-23170,11010010101111110,-5793,11110100101011111
-25997,11001101001110011,-6499,11110011010011101
-28378,11001000100100110,-7094,11110010001001010
-30274,11000100110111110,-7568,11110001001110000
-31651,11000010001011101,-7913,11110000100010111
-32488,11000000100011000,-8122,11110000001000110
-32768,11000000000000000,-8192,11110000000000000
-32488,11000000100011000,-8122,11110000001000110
-31651,11000010001011101,-7913,11110000100010111
-30274,11000100110111110,-7568,11110001001110000
-28378,11001000100100110,-7094,11110010001001010
-25997,11001101001110011,-6499,11110011010011101
-23170,11010010101111110,-5793,11110100101011111
-19948,11011001000010100,-4987,11110110010000101
-16384,11100000000000000,-4096,11111000000000000
-12540,11100111100000100,-3135,11111001111000001
-8481,11101111011011111,-2120,11111011110111000
-4277,11110111101001011,-1069,11111101111010011
-0,00000000000000000,-0,00000000000000000
4277,00001000010110101,1069,00000010000101101
8481,00010000100100001,2120,00000100001001000
12540,00011000011111100,3135,00000110000111111
16384,00100000000000000,4096,00001000000000000
19948,00100110111101100,4987,00001001101111011
23170,00101101010000010,5793,00001011010100001
25997,00110010110001101,6499,00001100101100011
28378,00110111011011010,7094,00001101110110110
30274,00111011001000010,7568,00001110110010000
31651,00111101110100011,7913,00001111011101001
32488,00111111011101000,8122,00001111110111010
32768,01000000000000000,8192,00010000000000000
32488,00111111011101000,8122,00001111110111010
31651,00111101110100011,7913,00001111011101001
30274,00111011001000010,7568,00001110110010000
28378,00110111011011010,7094,00001101110110110
25997,00110010110001101,6499,00001100101100011
23170,00101101010000010,5793,00001011010100001
19948,00100110111101100,4987,00001001101111011
16384,00100000000000000,4096,00001000000000000
12540,00011000011111100,3135,00000110000111111
8481,00010000100100001,2120,00000100001001000
4277,00001000010110101,1069,00000010000101101
0,00000000000000000,0,00000000000000000
-4277,11110111101001011,-1069,11111101111010011
-8481,11101111011011111,-2120,11111011110111000
-12540,11100111100000100,-3135,11111001111000001
-16384,11100000000000000,-4096,11111000000000000
-19948,11011001000010100,-4987,11110110010000101
-23170,11010010101111110,-5793,11110100101011111
-25997,11001101001110011,-6499,11110011010011101
-28378,11001000100100110,-7094,11110010001001010
-30274,11000100110111110,-7568,11110001001110000
-31651,11000010001011101,-7913,11110000100010111
-32488,11000000100011000,-8122,11110000001000110
-32768,11000000000000000,-8192,11110000000000000
-32488,11000000100011000,-8122,11110000001000110
-31651,11000010001011101,-7913,11110000100010111
-30274,11000100110111110,-7568,11110001001110000
-28378,11001000100100110,-7094,11110010001001010
-25997,11001101001110011,-6499,11110011010011101
-23170,11010010101111110,-5793,11110100101011111
-19948,11011001000010100,-4987,11110110010000101
-16384,11100000000000000,-4096,11111000000000000
-12540,11100111100000100,-3135,11111001111000001
-8481,11101111011011111,-2120,11111011110111000
-4277,11110111101001011,-1069,11111101111010011
-0,00000000000000000,-0,00000000000000000
4277,00001000010110101,1069,00000010000101101
8481,00010000100100001,2120,00000100001001000
12540,00011000011111100,3135,00000110000111111
16384,00100000000000000,4096,00001000000000000
19948,00100110111101100,4987,00001001101111011
23170,00101101010000010,5793,00001011010100001
25997,00110010110001101,6499,00001100101100011
28378,00110111011011010,7094,00001101110110110
30274,00111011001000010,7568,00001110110010000
31651,00111101110100011,7913,00001111011101001
32488,00111111011101000,8122,00001111110111010
32768,01000000000000000,8192,00010000000000000
32488,00111111011101000,8122,00001111110111010
31651,00111101110100011,7913,00001111011101001
30274,00111011001000010,7568,00001110110010000
28378,00110111011011010,7094,00001101110110110
25997,00110010110001101,6499,00001100101100011
23170,00101101010000010,5793,00001011010100001
19948,00100110111101100,4987,00001001101111011
16384,00100000000000000,4096,00001000000000000
12540,00011000011111100,3135,00000110000111111
8481,00010000100100001,2120,00000100001001000
4277,00001000010110101,1069,00000010000101101
0,00000000000000000,0,00000000000000000
-4277,11110111101001011,-1069,11111101111010011
-8481,11101111011011111,-2120,11111011110111000
-12540,11100111100000100,-3135,11111001111000001
-16384,11100000000000000,-4096,11111000000000000
-19948,11011001000010100,-4987,11110110010000101
-23170,11010010101111110,-5793,11110100101011111
-25997,11001101001110011,-6499,11110011010011101
-28378,11001000100100110,-7094,11110010001001010
-30274,11000100110111110,-7568,11110001001110000
-31651,11000010001011101,-7913,11110000100010111
-32488,11000000100011000,-8122,11110000001000110
-32768,11000000000000000,-8192,11110000000000000
-32488,11000000100011000,-8122,11110000001000110
-31651,11000010001011101,-7913,11110000100010111
-30274,11000100110111110,-7568,11110001001110000
-28378,11001000100100110,-7094,11110010001001010
-25997,11001101001110011,-6499,11110011010011101
-23170,11010010101111110,-5793,11110100101011111
-19948,11011001000010100,-4987,11110110010000101
-16384,11100000000000000,-4096,11111000000000000
-12540,11100111100000100,-3135,11111001111000001
-8481,11101111011011111,-2120,11111011110111000
-4277,11110111101001011,-1069,11111101111010011
-0,00000000000000000,-0,00000000000000000
4277,00001000010110101,1069,00000010000101101
8481,00010000100100001,2120,00000100001001000
12540,00011000011111100,3135,00000110000111111
16384,00100000000000000,4096,00001000000000000
19948,00100110111101100,4987,00001001101111011
23170,00101101010000010,5793,00001011010100001
25997,00110010110001101,6499,00001100101100011
28378,00110111011011010,7094,00001101110110110
30274,00111011001000010,7568,00001110110010000
31651,00111101110100011,7913,00001111011101001
32488,00111111011101000,8122,00001111110111010
32768,01000000000000000,8192,00010000000000000
32488,00111111011101000,8122,00001111110111010
31651,00111101110100011,7913,00001111011101001
30274,00111011001000010,7568,00001110110010000
28378,00110111011011010,7094,00001101110110110
25997,00110010110001101,6499,00001100101100011
23170,00101101010000010,5793,00001011010100001
19948,00100110111101100,4987,00001001101111011
16384,00100000000000000,4096,00001000000000000
12540,00011000011111100,3135,00000110000111111
8481,00010000100100001,2120,00000100001001000
4277,00001000010110101,1069,00000010000101101
0,00000000000000000,0,00000000000000000
-4277,11110111101001011,-1069,11111101111010011
-8481,11101111011011111,-2120,11111011110111000
-12540,11100111100000100,-3135,11111001111000001
-16384,11100000000000000,-4096,11111000000000000
-19948,11011001000010100,-4987,11110110010000101
-23170,11010010101111110,-5793,11110100101011111
-25997,11001101001110011,-6499,11110011010011101
-28378,11001000100100110,-7094,11110010001001010
-30274,11000100110111110,-7568,11110001001110000
-31651,11000010001011101,-7913,11110000100010111
-32488,11000000100011000,-8122,11110000001000110
-32768,11000000000000000,-8192,11110000000000000
-32488,11000000100011000,-8122,11110000001000110
-31651,11000010001011101,-7913,11110000100010111
-30274,11000100110111110,-7568,11110001001110000
-28378,11001000100100110,-7094,11110010001001010
-25997,11001101001110011,-6499,11110011010011101
-23170,11010010101111110,-5793,11110100101011111
-19948,11011001000010100,-4987,11110110010000101
-16384,11100000000000000,-4096,11111000000000000
-12540,11100111100000100,-3135,11111001111000001
-8481,11101111011011111,-2120,11111011110111000
-4277,11110111101001011,-1069,11111101111010011
-0,00000000000000000,-0,00000000000000000
4277,00001000010110101,1069,00000010000101101
8481,00010000100100001,2120,00000100001001000
12540,00011000011111100,3135,00000110000111111
16384,00100000000000000,4096,00001000000000000
19948,00100110111101100,4987,00001001101111011
23170,00101101010000010,5793,00001011010100001
25997,00110010110001101,6499,00001100101100011
28378,00110111011011010,7094,00001101110110110
30274,00111011001000010,7568,00001110110010000
31651,00111101110100011,7913,00001111011101001
32488,00111111011101000,8122,00001111110111010
32768,01000000000000000,8192,00010000000000000
32488,00111111011101000,8122,00001111110111010
31651,00111101110100011,7913,00001111011101001
30274,00111011001000010,7568,00001110110010000
28378,00110111011011010,7094,00001101110110110
25997,00110010110001101,6499,00001100101100011
23170,00101101010000010,5793,00001011010100001
19948,00100110111101100,4987,00001001101111011
16384,00100000000000000,4096,00001000000000000
12540,00011000011111100,3135,00000110000111111
8481,00010000100100001,2120,00000100001001000
4277,00001000010110101,1069,00000010000101101
0,00000000000000000,0,00000000000000000
-4277,11110111101001011,-1069,11111101111010011
-8481,11101111011011111,-2120,11111011110111000
-12540,11100111100000100,-3135,11111001111000001
-16384,11100000000000000,-4096,11111000000000000
-19948,11011001000010100,-4987,11110110010000101
-23170,11010010101111110,-5793,11110100101011111
-25997,11001101001110011,-6499,11110011010011101
-28378,11001000100100110,-7094,11110010001001010
-30274,11000100110111110,-7568,11110001001110000
-31651,11000010001011101,-7913,11110000100010111
-32488,11000000100011000,-8122,11110000001000110
-32768,11000000000000000,-8192,11110000000000000
-32488,11000000100011000,-8122,11110000001000110
-31651,11000010001011101,-7913,11110000100010111
-30274,11000100110111110,-7568,11110001001110000
-28378,11001000100100110,-7094,11110010001001010
-25997,11001101001110011,-6499,11110011010011101
-23170,11010010101111110,-5793,11110100101011111
-19948,11011001000010100,-4987,11110110010000101
-16384,11100000000000000,-4096,11111000000000000
-12540,11100111100000100,-3135,11111001111000001
-8481,11101111011011111,-2120,11111011110111000
-4277,11110111101001011,-1069,11111101111010011
-0,00000000000000000,-0,00000000000000000
4277,00001000010110101,1069,00000010000101101
8481,00010000100100001,2120,00000100001001000
12540,00011000011111100,3135,00000110000111111
16384,00100000000000000,4096,00001000000000000
19948,00100110111101100,4987,00001001101111011
23170,00101101010000010,5793,00001011010100001
25997,00110010110001101,6499,00001100101100011
28378,00110111011011010,7094,00001101110110110
30274,00111011001000010,7568,00001110110010000
31651,00111101110100011,7913,00001111011101001
32488,00111111011101000,8122,00001111110111010
32768,01000000000000000,8192,00010000000000000
32488,00111111011101000,8122,00001111110111010
31651,00111101110100011,7913,00001111011101001
30274,00111011001000010,7568,00001110110010000
28378,00110111011011010,7094,00001101110110110
25997,00110010110001101,6499,00001100101100011
23170,00101101010000010,5793,00001011010100001
19948,00100110111101100,4987,00001001101111011
16384,00100000000000000,4096,00001000000000000
12540,00011000011111100,3135,00000110000111111
8481,00010000100100001,2120,00000100001001000
4277,00001000010110101,1069,00000010000101101
-0,00000000000000000,-0,00000000000000000
-4277,11110111101001011,-1069,11111101111010011
-8481,11101111011011111,-2120,11111011110111000
-12540,11100111100000100,-3135,11111001111000001
-16384,11100000000000000,-4096,11111000000000000
-19948,11011001000010100,-4987,11110110010000101
-23170,11010010101111110,-5793,11110100101011111
-25997,11001101001110011,-6499,11110011010011101
-28378,11001000100100110,-7094,11110010001001010
-30274,11000100110111110,-7568,11110001001110000
-31651,11000010001011101,-7913,11110000100010111
-32488,11000000100011000,-8122,11110000001000110
-32768,11000000000000000,-8192,11110000000000000
-32488,11000000100011000,-8122,11110000001000110
-31651,11000010001011101,-7913,11110000100010111
-30274,11000100110111110,-7568,11110001001110000
-28378,11001000100100110,-7094,11110010001001010
-25997,11001101001110011,-6499,11110011010011101
-23170,11010010101111110,-5793,11110100101011111
-19948,11011001000010100,-4987,11110110010000101
-16384,11100000000000000,-4096,11111000000000000
-12540,11100111100000100,-3135,11111001111000001
-8481,11101111011011111,-2120,11111011110111000
-4277,11110111101001011,-1069,11111101111010011
-0,00000000000000000,-0,00000000000000000
4277,00001000010110101,1069,00000010000101101
8481,00010000100100001,2120,00000100001001000
12540,00011000011111100,3135,00000110000111111
16384,00100000000000000,4096,00001000000000000
19948,00100110111101100,4987,00001001101111011
23170,00101101010000010,5793,00001011010100001
25997,00110010110001101,6499,00001100101100011
28378,00110111011011010,7094,00001101110110110
30274,00111011001000010,7568,00001110110010000
31651,00111101110100011,7913,00001111011101001
32488,00111111011101000,8122,00001111110111010
32768,01000000000000000,8192,00010000000000000
32488,00111111011101000,8122,00001111110111010
31651,00111101110100011,7913,00001111011101001
30274,00111011001000010,7568,00001110110010000
28378,00110111011011010,7094,00001101110110110
25997,00110010110001101,6499,00001100101100011
23170,00101101010000010,5793,00001011010100001
19948,00100110111101100,4987,00001001101111011
16384,00100000000000000,4096,00001000000000000
12540,00011000011111100,3135,00000110000111111
8481,00010000100100001,2120,00000100001001000
4277,00001000010110101,1069,00000010000101101
0,00000000000000000,0,00000000000000000
-4277,11110111101001011,-1069,11111101111010011
-8481,11101111011011111,-2120,11111011110111000
-12540,11100111100000100,-3135,11111001111000001
-16384,11100000000000000,-4096,11111000000000000
-19948,11011001000010100,-4987,11110110010000101
-23170,11010010101111110,-5793,11110100101011111
-25997,11001101001110011,-6499,11110011010011101
-28378,11001000100100110,-7094,11110010001001010
-30274,11000100110111110,-7568,11110001001110000
-31651,11000010001011101,-7913,11110000100010111
-32488,11000000100011000,-8122,11110000001000110
-32768,11000000000000000,-8192,11110000000000000
-32488,11000000100011000,-8122,11110000001000110
-31651,11000010001011101,-7913,11110000100010111
-30274,11000100110111110,-7568,11110001001110000
-28378,11001000100100110,-7094,11110010001001010
-25997,11001101001110011,-6499,11110011010011101
-23170,11010010101111110,-5793,11110100101011111
-19948,11011001000010100,-4987,11110110010000101
-16384,11100000000000000,-4096,11111000000000000
-12540,11100111100000100,-3135,11111001111000001
-8481,11101111011011111,-2120,11111011110111000
-4277,11110111101001011,-1069,11111101111010011
